status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
... < 100 DM,6.0,critical account/other credits existing,domestic appliances,1169.0,unknown/no savings account,... >= 7 years,4.0,male : single,none,4.0,real estate,67.0,none,own,2.0,skilled employee/official,1.0,yes,yes,1
0 <= ... < 200 DM,48.0,existing credits paid back duly till now,domestic appliances,5951.0,... < 100 DM,,2.0,female : divorced/separated/married,none,2.0,real estate,22.0,none,own,,skilled employee/official,1.0,no,yes,0
no checking account,12.0,,retraining,2096.0,... < 100 DM,4 <= ... < 7 years,2.0,male : single,none,3.0,,49.0,none,own,1.0,unskilled - resident,2.0,no,yes,1
... < 100 DM,42.0,existing credits paid back duly till now,radio/television,7882.0,... < 100 DM,4 <= ... < 7 years,2.0,male : single,guarantor,4.0,building society savings agreement/life insurance,45.0,none,for free,1.0,skilled employee/official,2.0,no,yes,1
... < 100 DM,,,car (new),4870.0,... < 100 DM,1 <= ... < 4 years,3.0,male : single,none,4.0,unknown/no property,,none,for free,2.0,skilled employee/official,2.0,no,yes,0
no checking account,36.0,existing credits paid back duly till now,,9055.0,unknown/no savings account,1 <= ... < 4 years,2.0,male : single,none,4.0,unknown/no property,35.0,none,for free,1.0,unskilled - resident,,yes,yes,1
no checking account,24.0,existing credits paid back duly till now,radio/television,2835.0,500 <= ... < 1000 DM,... >= 7 years,3.0,male : single,,4.0,building society savings agreement/life insurance,53.0,,own,1.0,skilled employee/official,,no,,1
0 <= ... < 200 DM,36.0,existing credits paid back duly till now,car (used),,... < 100 DM,,2.0,male : single,none,2.0,car or other,35.0,none,rent,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,1
no checking account,12.0,,domestic appliances,,... >= 1000 DM,4 <= ... < 7 years,2.0,male : divorced/separated,none,4.0,real estate,,,own,1.0,unskilled - resident,1.0,,yes,1
0 <= ... < 200 DM,30.0,critical account/other credits existing,car (new),5234.0,,unemployed,4.0,male : married/widowed,none,2.0,car or other,28.0,none,own,2.0,management/self-employed/highly qualified employee/officer,1.0,,yes,0
0 <= ... < 200 DM,12.0,existing credits paid back duly till now,car (new),1295.0,... < 100 DM,... < 1 year,,,none,1.0,car or other,25.0,none,rent,1.0,skilled employee/official,1.0,no,,0
... < 100 DM,48.0,existing credits paid back duly till now,,4308.0,... < 100 DM,... < 1 year,3.0,female : divorced/separated/married,none,4.0,building society savings agreement/life insurance,24.0,none,rent,1.0,skilled employee/official,1.0,no,yes,0
0 <= ... < 200 DM,12.0,existing credits paid back duly till now,domestic appliances,1567.0,... < 100 DM,1 <= ... < 4 years,,female : divorced/separated/married,none,1.0,car or other,22.0,none,,1.0,,1.0,yes,yes,1
... < 100 DM,,critical account/other credits existing,car (new),1199.0,... < 100 DM,,4.0,male : single,none,4.0,car or other,60.0,none,own,2.0,unskilled - resident,1.0,no,yes,0
... < 100 DM,15.0,existing credits paid back duly till now,car (new),1403.0,... < 100 DM,1 <= ... < 4 years,2.0,female : divorced/separated/married,none,4.0,,28.0,none,rent,1.0,skilled employee/official,,,yes,1
... < 100 DM,24.0,existing credits paid back duly till now,domestic appliances,1282.0,,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,2.0,car or other,32.0,none,own,1.0,unskilled - resident,1.0,no,yes,0
,24.0,critical account/other credits existing,domestic appliances,2424.0,unknown/no savings account,... >= 7 years,4.0,male : single,none,4.0,building society savings agreement/life insurance,53.0,none,own,2.0,skilled employee/official,1.0,no,yes,1
... < 100 DM,30.0,no credits taken/all credits paid back duly,others,8072.0,unknown/no savings account,... < 1 year,,male : single,none,3.0,car or other,25.0,,,3.0,skilled employee/official,1.0,no,yes,1
0 <= ... < 200 DM,24.0,existing credits paid back duly till now,car (used),12579.0,... < 100 DM,... >= 7 years,,female : divorced/separated/married,none,2.0,unknown/no property,44.0,none,for free,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,0
no checking account,24.0,existing credits paid back duly till now,domestic appliances,3430.0,500 <= ... < 1000 DM,... >= 7 years,3.0,male : single,none,,,31.0,none,own,,skilled employee/official,2.0,,yes,1
no checking account,9.0,critical account/other credits existing,car (new),2134.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,,4.0,car or other,48.0,none,own,3.0,skilled employee/official,1.0,yes,yes,1
... < 100 DM,,existing credits paid back duly till now,domestic appliances,2647.0,,1 <= ... < 4 years,2.0,male : single,none,3.0,real estate,44.0,none,rent,,skilled employee/official,2.0,no,,1
,10.0,critical account/other credits existing,car (new),2241.0,... < 100 DM,... < 1 year,1.0,male : single,none,3.0,real estate,48.0,none,rent,2.0,unskilled - resident,2.0,no,no,1
0 <= ... < 200 DM,12.0,critical account/other credits existing,,1804.0,100 <= ... < 500 DM,,3.0,,none,4.0,building society savings agreement/life insurance,44.0,none,own,1.0,skilled employee/official,1.0,no,yes,1
no checking account,10.0,critical account/other credits existing,radio/television,2069.0,unknown/no savings account,,2.0,male : married/widowed,none,1.0,,26.0,none,own,2.0,skilled employee/official,,no,no,1
... < 100 DM,6.0,existing credits paid back duly till now,radio/television,1374.0,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,2.0,real estate,,bank,own,1.0,unskilled - resident,1.0,yes,yes,1
no checking account,,no credits taken/all credits paid back duly,domestic appliances,426.0,,... >= 7 years,4.0,,none,4.0,car or other,39.0,,own,,unskilled - resident,1.0,no,yes,1
... >= 200 DM / salary for at least 1 year,12.0,all credits at this bank paid back duly,domestic appliances,409.0,... >= 1000 DM,1 <= ... < 4 years,,female : divorced/separated/married,none,3.0,real estate,42.0,,rent,2.0,skilled employee/official,1.0,no,,1
0 <= ... < 200 DM,7.0,existing credits paid back duly till now,domestic appliances,2415.0,... < 100 DM,1 <= ... < 4 years,3.0,male : single,guarantor,,real estate,34.0,none,own,,skilled employee/official,1.0,no,yes,1
,60.0,delay in paying off in the past,others,6836.0,... < 100 DM,... >= 7 years,3.0,male : single,none,,unknown/no property,63.0,none,own,2.0,skilled employee/official,1.0,yes,,0
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,others,1913.0,... >= 1000 DM,... < 1 year,3.0,male : married/widowed,none,3.0,real estate,36.0,bank,own,1.0,skilled employee/official,1.0,yes,yes,1
... < 100 DM,,existing credits paid back duly till now,radio/television,4020.0,... < 100 DM,1 <= ... < 4 years,,male : single,none,2.0,car or other,27.0,stores,own,1.0,skilled employee/official,,no,yes,1
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,car (new),5866.0,100 <= ... < 500 DM,,2.0,male : single,none,,car or other,30.0,none,own,2.0,skilled employee/official,,yes,yes,1
no checking account,12.0,,others,1264.0,unknown/no savings account,... >= 7 years,4.0,male : single,none,4.0,unknown/no property,57.0,none,rent,1.0,,1.0,no,yes,1
... >= 200 DM / salary for at least 1 year,12.0,existing credits paid back duly till now,radio/television,1474.0,... < 100 DM,... < 1 year,4.0,female : divorced/separated/married,,1.0,,33.0,,own,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,1
0 <= ... < 200 DM,45.0,critical account/other credits existing,domestic appliances,4746.0,... < 100 DM,... < 1 year,4.0,male : single,none,,building society savings agreement/life insurance,25.0,none,own,2.0,unskilled - resident,1.0,no,yes,0
no checking account,48.0,critical account/other credits existing,retraining,6110.0,... < 100 DM,1 <= ... < 4 years,1.0,male : single,,3.0,unknown/no property,31.0,bank,for free,,skilled employee/official,1.0,yes,yes,1
,18.0,existing credits paid back duly till now,domestic appliances,,... < 100 DM,1 <= ... < 4 years,,male : single,co-applicant,2.0,real estate,37.0,stores,own,1.0,skilled employee/official,1.0,no,yes,0
... >= 200 DM / salary for at least 1 year,10.0,existing credits paid back duly till now,repairs,1225.0,... < 100 DM,1 <= ... < 4 years,2.0,male : single,none,2.0,car or other,37.0,none,,1.0,skilled employee/official,1.0,yes,yes,1
0 <= ... < 200 DM,9.0,existing credits paid back duly till now,domestic appliances,458.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,3.0,real estate,24.0,none,own,1.0,skilled employee/official,,no,yes,1
no checking account,30.0,,domestic appliances,2333.0,500 <= ... < 1000 DM,,4.0,male : single,none,2.0,car or other,30.0,,own,1.0,management/self-employed/highly qualified employee/officer,1.0,no,yes,1
0 <= ... < 200 DM,12.0,existing credits paid back duly till now,domestic appliances,,500 <= ... < 1000 DM,1 <= ... < 4 years,3.0,male : divorced/separated,none,1.0,car or other,26.0,none,own,1.0,skilled employee/official,1.0,yes,yes,1
0 <= ... < 200 DM,18.0,delay in paying off in the past,education,6204.0,... < 100 DM,1 <= ... < 4 years,,male : single,none,4.0,real estate,44.0,none,own,1.0,unskilled - resident,2.0,yes,yes,1
... < 100 DM,30.0,critical account/other credits existing,car (used),6187.0,100 <= ... < 500 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,,car or other,,none,rent,2.0,skilled employee/official,1.0,no,yes,1
,48.0,critical account/other credits existing,car (used),6143.0,... < 100 DM,... >= 7 years,4.0,female : divorced/separated/married,none,4.0,unknown/no property,58.0,stores,for free,2.0,unskilled - resident,1.0,,yes,0
no checking account,11.0,critical account/other credits existing,car (new),1393.0,... < 100 DM,... < 1 year,4.0,female : divorced/separated/married,none,4.0,car or other,35.0,none,own,2.0,management/self-employed/highly qualified employee/officer,1.0,no,yes,1
no checking account,36.0,existing credits paid back duly till now,domestic appliances,2299.0,500 <= ... < 1000 DM,... >= 7 years,4.0,male : single,none,4.0,car or other,,none,own,,skilled employee/official,1.0,no,yes,1
... < 100 DM,6.0,existing credits paid back duly till now,car (used),,500 <= ... < 1000 DM,unemployed,1.0,,none,2.0,building society savings agreement/life insurance,23.0,none,rent,,unemployed/unskilled - non-resident,1.0,yes,yes,1
no checking account,11.0,critical account/other credits existing,car (new),7228.0,... < 100 DM,1 <= ... < 4 years,1.0,,none,4.0,,39.0,none,own,2.0,unskilled - resident,,,,1
,12.0,existing credits paid back duly till now,domestic appliances,,100 <= ... < 500 DM,,4.0,female : divorced/separated/married,co-applicant,2.0,real estate,28.0,none,own,1.0,skilled employee/official,1.0,no,,1
